ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
5981446,2008,1190,服务业,湖南,农民专业合作社,自然人,0.91
5993858,2008,6670,零售业,湖南,集体所有制企业,企业法人,0.91
5990025,2008,9100,社区服务,湖北,农民专业合作社,NA,0.51
5982670,2002,5870,商业服务业,广东,股份有限公司,企业法人,0.63
5990751,2005,9850,工业,江西,集体所有制企业,企业法人,0.58
5997536,2013,7460,商业服务业,山东,集体所有制企业,自然人,0.93
5986954,2007,3320,商业服务业,湖南,合伙企业,自然人,0.86
5989011,2006,6680,商业服务业,湖北,有限责任公司,企业法人,0.65
5996878,2014,9390,交通运输业,湖北,合伙企业,自然人,0.59
5984181,2004,2290,社区服务,山东,农民专业合作社,企业法人,0.96
5986857,2002,8190,工业,福建,合伙企业,企业法人,0.99
5981274,2013,8380,交通运输业,山东,有限责任公司,自然人,0.61
5981397,2007,970,零售业,湖南,合伙企业,企业法人,0.86
5999073,2011,3460,社区服务,江西,有限责任公司,企业法人,0.7
5998141,2010,8890,零售业,广西,有限责任公司,企业法人,0.82
5992132,2005,8220,交通运输业,福建,集体所有制企业,自然人,0.59
5983116,2008,2200,社区服务,江西,股份有限公司,企业法人,1
5994085,2000,1010,零售业,广东,合伙企业,自然人,0.64
5995404,2004,6710,商业服务业,山东,合伙企业,企业法人,0.6
5984783,2010,3690,商业服务业,福建,有限责任公司,自然人,0.51
5985768,2002,8560,工业,广东,农民专业合作社,企业法人,0.62
5991744,2011,7640,商业服务业,广西,集体所有制企业,自然人,0.75
5984588,2008,1920,社区服务,广西,有限责任公司,自然人,0.84
5999507,2012,5420,工业,江西,股份有限公司,企业法人,0.99
5994109,2003,4340,工业,山东,农民专业合作社,企业法人,0.73
5989417,2014,5230,商业服务业,江西,集体所有制企业,自然人,0.86
5982647,2010,7110,商业服务业,江西,股份有限公司,自然人,0.63
5990416,2008,2560,商业服务业,湖南,股份有限公司,自然人,0.86
5988357,2014,8240,工业,广西,有限责任公司,自然人,0.86
5980702,2005,8680,服务业,福建,股份有限公司,自然人,0.87
5998210,2008,150,零售业,湖北,合伙企业,自然人,0.79
5992638,2004,4200,交通运输业,湖南,合伙企业,自然人,0.6
5978523,2004,4670,社区服务,湖南,农民专业合作社,企业法人,0.92
5980538,2004,1600,零售业,湖南,股份有限公司,自然人,0.77
5992817,2002,6860,交通运输业,山东,集体所有制企业,自然人,0.69
5999711,2009,5660,服务业,湖南,农民专业合作社,自然人,0.94
5998453,2003,1150,社区服务,山东,有限责任公司,企业法人,0.59
5989642,2009,NA,服务业,湖南,农民专业合作社,自然人,0.73
5996993,2012,1550,社区服务,江西,农民专业合作社,自然人,0.84
5985405,2007,7310,商业服务业,广东,集体所有制企业,自然人,0.56
5991930,2003,7410,社区服务,广东,农民专业合作社,企业法人,0.54
5987413,2001,7310,工业,湖南,集体所有制企业,企业法人,0.52
5988856,2011,1320,工业,山东,股份有限公司,自然人,0.94
5993272,2011,4250,服务业,湖北,集体所有制企业,自然人,0.66
5985251,2001,2050,零售业,福建,合伙企业,企业法人,0.53
5987313,2005,360,商业服务业,广东,股份有限公司,企业法人,0.65
5998975,2010,5290,商业服务业,广东,有限责任公司,企业法人,0.61
5982859,2006,3030,服务业,湖北,农民专业合作社,自然人,0.87
5982188,2003,1170,零售业,福建,股份有限公司,自然人,0.52
5997240,2003,1050,社区服务,江西,合伙企业,自然人,0.8
5980262,2005,6920,商业服务业,湖北,集体所有制企业,自然人,0.91
5980717,2007,710,交通运输业,湖南,农民专业合作社,自然人,0.75
5980957,2000,9010,社区服务,广西,股份有限公司,企业法人,0.59
5985967,2007,1040,商业服务业,福建,有限责任公司,企业法人,0.8
5990832,2002,7840,服务业,湖北,集体所有制企业,企业法人,0.99
5996798,2005,8090,工业,广西,合伙企业,自然人,0.99
5980958,2000,1160,商业服务业,广东,合伙企业,自然人,0.64
5994588,2014,8590,工业,山东,合伙企业,NA,1
5986865,2012,5020,工业,湖北,集体所有制企业,企业法人,0.58
5985245,2006,3220,交通运输业,山东,股份有限公司,自然人,0.68
5989782,2010,7050,服务业,湖南,合伙企业,自然人,0.99
5984591,2007,6990,交通运输业,广西,合伙企业,自然人,0.74
5986747,2004,9590,服务业,山东,股份有限公司,自然人,0.8
5992193,2005,7940,工业,福建,集体所有制企业,企业法人,0.66
5986805,2008,3650,NA,江西,有限责任公司,企业法人,0.97
5992949,2001,1550,社区服务,山东,股份有限公司,企业法人,0.99
5986122,2011,8800,工业,湖南,农民专业合作社,自然人,0.77
5991524,2003,3190,社区服务,湖南,合伙企业,NA,0.88
5985395,2011,5610,社区服务,广西,股份有限公司,自然人,0.95
5990110,2014,4520,服务业,山东,农民专业合作社,企业法人,0.69
5979076,2009,7990,社区服务,江西,集体所有制企业,企业法人,0.56
5980154,2014,3420,社区服务,山东,农民专业合作社,企业法人,0.62
5991664,2000,2870,服务业,江西,农民专业合作社,企业法人,0.71
5987388,2009,1730,商业服务业,广西,农民专业合作社,自然人,0.9
5980783,2005,4670,零售业,湖北,股份有限公司,企业法人,0.86
5992970,2005,4650,工业,福建,股份有限公司,自然人,0.6
5987205,2012,6550,交通运输业,江西,股份有限公司,自然人,0.62
5998087,2001,1350,工业,广西,集体所有制企业,企业法人,0.71
5991532,2000,1180,社区服务,江西,有限责任公司,企业法人,0.62
5994523,2006,3200,交通运输业,广西,股份有限公司,企业法人,0.79
5981962,2007,6860,交通运输业,福建,有限责任公司,企业法人,0.76
5997769,2010,430,交通运输业,福建,集体所有制企业,自然人,0.79
5986441,2011,2790,工业,江西,合伙企业,企业法人,0.61
5980200,2012,3680,工业,湖北,股份有限公司,企业法人,NA
5989477,2008,480,服务业,广西,股份有限公司,NA,0.88
5992853,2000,9250,零售业,广西,农民专业合作社,企业法人,0.58
5985082,2009,7610,商业服务业,江西,有限责任公司,企业法人,0.62
5989933,2003,2780,零售业,广西,合伙企业,自然人,0.61
5989681,2010,9480,工业,湖北,有限责任公司,自然人,0.75
5987878,2009,6470,服务业,山东,农民专业合作社,企业法人,0.52
