ID,专利,商标,著作权
5978034,0,1,1
5978036,0,0,1
5978037,1,1,1
5978038,0,0,0
5978039,0,0,0
5978040,0,0,0
5978041,1,1,0
5978042,0,0,0
5978043,1,1,0
5978044,0,0,0
5978046,1,1,0
5978047,0,1,0
5978048,1,1,0
5978050,0,0,0
5978051,1,0,0
5978052,1,1,0
5978053,1,1,1
5978054,1,1,0
5978055,0,0,0
5978056,0,0,0
5978058,0,0,1
5978059,0,1,1
5978061,0,1,NA
5978063,0,0,0
5978064,0,1,1
5978065,1,1,0
5978066,0,0,0
5978067,1,0,1
5978068,1,0,0
5978069,0,1,1
5978070,0,0,0
5978071,0,0,0
5978073,1,1,1
5978074,0,0,0
5978075,0,0,NA
5978076,0,1,0
5978077,0,0,0
5978078,0,0,0
5978079,NA,0,NA
5978081,1,0,1
5978082,1,0,0
5978083,0,0,0
5978084,0,0,0
5978085,0,0,0
5978086,0,1,1
5978087,1,0,1
5978088,1,1,0
5978089,0,0,0
5978090,1,1,1
5978091,0,0,0
5978092,0,0,0
5978094,1,1,0
5978095,1,0,0
5978096,0,0,0
5978097,1,NA,0
5978099,0,0,0
5978100,0,0,NA
5978102,0,1,1
5978103,0,0,0
5978104,1,0,1
5978105,0,1,1
5978106,0,0,0
5978108,0,0,0
5978109,0,0,0
5978110,0,0,0
5978111,1,0,1
5978112,1,1,0
5978113,0,1,0
5978115,0,0,0
5978117,1,1,0
5978118,0,0,1
5978120,0,0,0
5978122,0,NA,0
5978123,1,1,1
5978125,1,1,1
5978126,1,0,1
5978127,0,0,0
5978128,1,0,1
5978130,1,0,1
5978131,0,0,0
5978132,1,1,1
5978133,1,1,0
5978134,1,1,1
5978135,0,1,1
5978137,1,0,1
5978138,1,0,0
5978139,0,0,1
5978140,0,1,1
5978142,1,0,1
5978144,1,1,0
5978145,1,0,0
5978146,0,0,1
5978147,0,1,1
5978149,0,0,0
5978154,NA,0,1
5978155,0,0,0
5978156,0,0,0
5978157,1,0,0
5978158,0,0,0
5978161,0,1,1
5978162,0,0,0
5978163,0,1,1
5978164,0,0,0
5978166,0,0,0
5978167,0,1,1
5978168,1,0,1
5978169,0,1,0
5978170,0,1,1
5978172,1,0,0
5978173,1,0,0
5978174,1,1,0
5978175,1,1,1
5978176,0,0,0
5978177,1,0,1
5978180,0,0,0
5978181,0,0,0
5978182,0,0,0
5978184,0,0,0
5978185,0,0,0
5978186,1,1,0
5978187,0,0,0
5978188,0,1,0
5978190,1,0,0
5978191,0,0,0
5978193,0,1,1
5978194,0,0,0
5978195,1,1,1
5978196,1,1,0
5978198,0,0,0
5978199,0,0,0
5978201,1,0,1
5978202,0,0,0
5978203,1,1,0
5978204,0,0,0
5978205,0,1,1
5978206,0,0,0
5978208,1,0,0
5978211,1,1,0
5978212,1,1,0
5978213,1,0,1
5978215,1,0,0
5978216,0,1,1
5978217,0,0,0
5978218,0,0,0
5978219,0,0,0
5978221,0,0,0
5978222,0,1,1
5978223,0,1,1
5978224,1,1,1
5978225,0,1,0
5978226,1,0,1
5978227,1,0,1
5978228,0,0,0
5978229,0,0,0
5978230,0,0,0
5978232,1,0,1
5978234,0,0,0
5978235,1,0,1
5978236,0,0,0
5978237,0,1,1
5978239,0,0,0
5978240,0,0,0
5978242,1,1,NA
5978243,0,0,0
5978244,0,1,1
5978245,0,0,0
5978246,0,0,0
5978247,1,1,0
5978248,1,0,0
5978249,0,0,0
5978251,1,1,1
5978252,1,0,1
5978253,1,0,1
5978254,0,0,0
5978255,0,0,0
5978256,0,0,1
5978257,0,0,0
5978258,0,0,0
5978259,0,0,0
5978262,0,0,0
5978265,0,0,0
5978267,0,1,0
5978269,0,0,0
5978270,0,0,0
5978271,0,0,0
5978272,0,0,0
5978273,1,1,1
5978274,1,1,0
5978275,0,0,0
5978276,0,0,0
5978277,1,1,1
5978279,0,0,0
5978280,1,0,1
5978281,1,1,1
5978284,0,1,1
5978285,1,1,0
5978286,1,1,0
5978287,0,1,0
5978288,0,0,0
5978289,0,0,0
5978290,0,0,0
5978291,1,1,1
5978292,1,1,0
5978294,0,1,0
5978295,1,0,1
5978296,NA,0,0
5978298,0,0,0
5978299,0,0,0
5978300,0,0,1
5978301,1,1,1
5978303,0,0,0
5978304,1,1,0
5978305,0,0,0
5978306,1,1,0
5978307,1,1,0
5978308,1,0,1
5978309,1,1,1
5978310,1,1,0
5978312,1,1,0
5978313,1,1,1
5978314,1,0,1
5978315,0,0,0
5978316,0,0,0
5978317,1,1,0
5978319,0,0,0
5978320,1,0,1
5978321,0,0,0
5978322,0,1,1
5978323,0,0,0
5978324,1,1,1
5978325,0,1,1
5978326,1,1,1
5978327,0,0,0
5978329,0,0,0
5978330,1,0,1
5978331,1,1,0
5978332,0,1,1
5978333,1,0,1
5978334,0,0,0
5978335,0,1,1
5978336,1,0,0
5978337,0,0,NA
5978338,0,0,0
5978339,1,1,1
5978340,0,0,0
5978341,1,1,0
5978342,1,0,1
5978343,0,0,0
5978345,0,0,0
5978346,1,0,1
5978347,0,0,0
5978348,1,1,1
5978349,0,1,1
5978350,0,0,0
5978351,0,0,0
5978352,0,0,0
5978353,1,1,0
5978354,0,0,NA
5978355,0,0,1
5978356,1,1,1
5978357,0,0,0
5978358,1,0,1
5978359,0,0,0
5978360,0,1,0
5978361,1,1,0
5978362,0,0,0
5978363,0,0,0
5978364,1,0,1
5978365,1,0,0
5978366,1,1,0
5978367,0,1,0
5978368,1,0,1
5978371,0,0,0
5978372,1,0,1
5978373,0,0,0
5978374,1,0,1
5978375,0,0,0
5978376,0,1,1
5978377,0,1,1
5978379,0,0,0
5978380,0,1,1
5978382,1,1,0
5978383,1,0,1
5978385,0,0,0
5978387,0,0,0
5978388,0,0,0
5978389,1,0,1
5978390,0,0,0
5978391,1,1,0
5978392,0,1,1
5978393,1,0,1
5978394,0,0,0
5978395,0,0,0
5978397,0,0,NA
5978400,1,0,1
5978402,0,0,0
5978403,1,1,1
5978404,1,1,0
5978406,1,0,1
5978407,1,0,1
5978408,0,1,1
5978409,0,0,0
5978410,0,0,0
5978411,1,0,0
5978413,0,1,NA
5978414,1,1,1
5978415,0,0,0
5978417,1,0,1
5978418,1,1,1
5978419,0,0,0
5978420,1,1,0
5978421,0,0,0
5978423,0,0,1
5978424,1,0,1
5978425,1,0,0
5978426,1,NA,1
5978428,1,1,0
5978429,1,1,1
5978430,1,1,0
5978431,1,1,1
5978432,1,1,0
5978435,1,0,0
5978436,0,1,1
5978437,0,0,0
5978438,1,0,1
5978439,1,0,0
5978440,1,1,0
5978441,0,0,0
5978443,0,1,1
5978444,1,1,1
5978445,1,0,0
5978446,0,0,0
5978447,1,0,1
5978448,0,0,1
5978449,0,0,0
5978450,1,1,0
5978453,0,0,0
5978454,0,0,0
5978455,1,0,1
5978457,0,0,1
5978458,1,1,0
5978459,1,1,1
5978462,0,0,0
5978464,0,1,1
5978465,1,1,1
5978466,0,0,1
5978467,1,0,1
5978468,0,1,1
5978469,0,0,1
5978470,1,1,0
5978471,0,1,1
5978472,1,1,1
5978473,NA,0,0
5978474,0,0,0
5978475,0,1,1
5978476,1,1,0
5978477,0,0,0
5978478,1,1,1
5978479,0,0,0
5978480,0,1,1
5978482,0,0,0
5978483,1,0,1
5978486,0,0,0
5978487,1,1,0
5978488,0,0,0
5978489,1,0,1
5978490,0,0,0
5978491,0,1,0
5978494,NA,0,1
5978495,0,1,1
5978496,1,1,0
5978497,0,1,1
5978499,0,0,0
5978501,1,1,0
5978503,0,0,0
5978505,0,0,0
5978506,0,0,0
5978507,1,1,0
5978509,0,0,0
5978510,0,0,0
5978511,0,0,1
5978512,0,0,0
5978514,0,0,0
5978515,0,1,1
5978517,0,0,0
5978518,0,0,0
5978519,1,1,0
5978520,0,1,1
5978522,0,0,0
5978523,1,0,1
5978524,1,1,1
5978525,0,1,1
5978526,0,0,0
5978527,0,NA,0
5978528,0,0,1
5978529,1,1,1
5978530,0,0,0
5978531,0,0,1
5978532,0,0,0
5978533,1,1,0
5978534,0,0,0
5978535,1,1,0
5978536,1,0,1
5978537,0,0,0
5978539,0,0,0
5978540,0,0,0
5978541,0,0,0
5978542,0,0,0
5978543,1,1,1
5978544,0,0,0
5978545,0,1,1
5978546,1,1,1
5978547,0,0,0
5978548,0,0,0
5978549,0,1,1
5978550,0,0,0
5978551,0,0,0
5978552,1,1,1
5978553,0,0,0
5978554,1,0,0
5978555,0,0,0
5978556,1,1,0
5978557,0,NA,0
5978558,1,1,0
5978559,1,0,1
5978560,0,0,0
5978561,0,0,0
5978564,1,1,0
5978565,1,1,0
5978566,1,1,0
5978567,0,1,0
5978568,0,1,0
5978569,0,0,0
5978570,0,1,0
5978571,0,0,0
5978572,0,1,1
