ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
5978034,2015,0,0,0,0,54432,3265.92,0,0
5978036,2015,0,0,14328,573.12,0,0,0,0
5978037,2015,0,0,0,0,0,0,790.8,47.448
5978038,2015,10170,813.6,0,0,0,0,0,0
5978039,2015,0,0,30844.8,1233.792,0,0,0,NA
5978040,2015,0,0,2292,91.68,0,0,0,0
5978041,2015,0,0,0,0,0,0,700,42
5978042,2015,31152,2492.16,0,0,0,0,0,0
5978043,2015,0,0,0,0,0,0,4338,260.28
5978044,2015,0,0,0,0,0,0,1196,71.76
5978046,2015,0,0,0,0,0,0,252,15.12
5978047,2015,0,0,105705,4228.2,0,0,0,0
5978048,2015,0,0,0,0,115285.5,6917.13,0,0
5978050,2015,0,NA,105696,4227.84,0,0,0,0
5978051,2015,0,0,0,0,399672,23980.32,0,0
5978052,2015,0,0,0,0,0,0,4598.1,275.886
5978053,2015,0,0,0,0,99855,5991.3,0,0
5978054,2015,0,0,145766.4,5830.656,0,0,0,0
5978055,2015,25494,2039.52,0,0,0,0,0,0
5978056,2015,0,0,0,0,0,0,10626,637.56
5978058,2015,0,0,0,0,261792,15707.52,0,0
5978059,2015,0,0,0,0,253368,15202.08,0,0
5978061,2015,2180,174.4,0,0,0,0,0,0
5978063,2015,0,0,4961.6,198.464,0,0,0,0
5978064,2015,0,0,NA,0,0,0,1233.6,74.016
5978065,2015,7634,610.72,0,0,0,0,0,0
5978066,2015,13440,1075.2,0,0,0,0,0,0
5978067,2015,0,0,0,0,0,0,316.8,19.008
5978068,2015,0,0,0,0,101930.4,6115.824,0,0
5978069,2015,0,0,0,0,0,0,946.4,56.784
5978070,2015,0,0,18806.4,752.256,0,0,0,0
5978071,2015,0,0,0,0,27518.4,1651.104,0,0
5978073,2015,0,0,42503.04,1700.1216,0,0,0,0
5978074,2015,696,55.68,0,0,0,0,0,0
5978075,2015,51150,4092,0,0,0,0,0,0
5978076,2015,0,0,26013,1040.52,0,0,0,0
5978077,2015,24108,1928.64,0,0,0,0,0,0
5978078,2015,2848,227.84,0,0,NA,0,0,0
5978079,2015,0,0,0,0,0,0,2244,134.64
5978081,2015,0,0,0,0,25488,1529.28,0,0
5978082,2015,0,0,0,0,6048,362.88,0,0
5978083,2015,0,0,14136,565.44,0,0,0,0
5978084,2015,6384,510.72,0,0,0,0,0,0
5978085,2015,0,0,0,0,0,0,73.5,4.41
5978086,2015,16398,1311.84,0,0,0,0,0,0
5978087,2015,0,0,0,0,74649.6,4478.976,0,0
5978088,2015,10980,878.4,0,0,0,0,0,0
5978089,2015,0,0,0,0,10546.2,632.772,0,0
5978090,2015,0,0,12747.84,509.9136,0,0,0,0
5978091,2015,0,0,0,0,0,0,2169.6,130.176
5978092,2015,0,0,0,0,168462,10107.72,0,0
5978094,2015,0,0,0,0,3375,202.5,0,0
5978095,2015,0,0,74847.52,2993.9008,0,0,0,0
5978096,2015,516,41.28,0,0,0,0,0,0
5978097,2015,0,0,7459.2,298.368,0,0,0,0
5978099,2015,0,0,23592.96,943.7184,0,0,0,0
5978100,2015,0,0,250.5,10.02,0,0,0,0
5978102,2015,0,0,3840,153.6,0,0,0,0
5978103,2015,3828,306.24,0,0,0,0,0,0
5978104,2015,0,0,3525,141,0,0,0,0
5978105,2015,10098,807.84,0,0,0,0,0,0
5978106,2015,0,0,0,0,0,0,816,48.96
5978108,2015,0,0,0,0,0,0,2898,173.88
5978109,2015,0,0,0,0,10680,640.8,0,0
5978110,2015,11760,940.8,0,NA,0,0,0,0
5978111,2015,5404,432.32,0,0,0,0,0,0
5978112,2015,0,0,0,0,0,0,17226,1033.56
5978113,2015,8208,656.64,0,0,0,0,0,0
5978115,2015,588,47.04,0,0,0,0,0,0
5978117,2015,7920,633.6,0,0,0,0,0,0
5978118,2015,0,0,0,0,45360,2721.6,0,0
5978120,2015,0,0,17.6,0.704,0,0,0,0
5978122,2015,0,0,10524.8,420.992,0,0,0,0
5978123,2015,0,0,0,0,0,0,1630.8,97.848
5978125,2015,0,0,3982.72,159.3088,0,0,0,0
5978126,2015,0,0,5544,221.76,0,0,0,0
5978127,2015,3720,297.6,0,0,0,0,0,0
5978128,2015,0,0,0,0,1454.4,87.264,0,0
5978130,2015,0,0,0,0,0,0,453.7,27.222
5978131,2015,0,0,0,0,0,0,782,46.92
5978132,2015,0,0,0,0,7056,423.36,0,0
5978133,2015,0,0,0,0,0,NA,17710,1062.6
5978134,2015,2580,206.4,0,0,0,0,0,0
5978135,2015,0,0,0,0,99532.8,5971.968,0,0
5978137,2015,0,0,0,0,0,0,51,3.06
5978138,2015,994,79.52,0,0,0,0,0,0
5978139,2015,0,0,552.96,22.1184,0,NA,0,0
5978140,2015,0,0,0,0,28969.2,1738.152,0,0
5978142,2015,20840,1667.2,0,0,0,0,0,0
5978144,2015,0,0,0,0,0,0,14130,847.8
5978145,2015,0,0,NA,121.728,0,0,0,0
5978146,2015,0,0,4809,192.36,0,0,0,0
5978147,2015,0,0,0,0,945,56.7,0,0
5978149,2015,0,0,0,0,0,0,6636,398.16
5978154,2015,0,0,3878.4,155.136,0,0,0,0
5978155,2015,0,0,0,0,0,0,831.6,49.896
5978156,2015,16588,1327.04,0,0,0,0,0,0
5978157,2015,1836,146.88,0,0,0,0,0,0
5978158,2015,0,0,2189.6,87.584,0,0,0,0
5978161,2015,0,0,0,0,0,0,374.4,22.464
5978162,2015,0,0,0,0,0,0,218.1,13.086
5978163,2015,0,0,21232.64,849.3056,NA,0,0,0
5978164,2015,0,0,5740.8,229.632,NA,0,0,0
5978166,2015,0,0,14899.5,595.98,0,0,0,0
5978167,2015,0,0,0,0,47520,2851.2,0,0
5978168,2015,0,0,NA,0,0,0,325,19.5
5978169,2015,0,0,0,0,37737,2264.22,0,0
5978170,2015,28125,2250,0,0,0,0,0,0
5978172,2015,16620,1329.6,0,0,NA,0,0,0
5978173,2015,0,0,0,0,0,0,436.8,26.208
5978174,2015,5432,434.56,0,0,0,0,0,0
5978175,2015,21190,1695.2,0,0,0,0,0,0
5978176,2015,7340,587.2,0,0,0,0,0,0
5978177,2015,10212,816.96,0,0,0,0,0,0
5978180,2015,0,0,8614.2,344.568,0,0,0,0
5978181,2015,1599,127.92,0,0,0,0,0,0
5978182,2015,0,0,0,0,13815.9,828.954,0,0
5978184,2015,0,0,0,0,39139.2,2348.352,0,0
5978185,2015,0,0,34884,1395.36,0,0,0,0
5978186,2015,0,0,2298.24,91.9296,0,0,0,0
5978187,2015,0,0,46828.8,1873.152,0,0,0,0
5978188,2015,0,0,24360,974.4,0,0,0,0
5978190,2015,46605,3728.4,0,0,0,0,0,0
5978191,2015,0,0,1492.8,59.712,0,0,0,0
5978193,2015,0,0,1060.2,42.408,0,0,0,0
5978194,2015,0,0,0,0,16524,991.44,0,0
5978195,2015,930,74.4,0,0,0,0,0,0
5978196,2015,0,0,0,0,383097.6,22985.856,0,0
5978198,2015,0,0,0,0,121212,7272.72,0,0
5978199,2015,0,0,0,0,53118,3187.08,0,0
5978201,NA,0,0,0,0,0,0,1761.6,NA
5978202,2015,0,0,0,0,0,0,1173.6,70.416
5978203,2015,0,0,20133.36,805.3344,0,0,0,0
5978204,2015,0,0,27537.3,1101.492,0,0,0,0
5978205,2015,0,0,0,0,0,0,400,24
5978206,2015,0,0,13564.8,542.592,0,0,0,0
5978208,2015,5004,400.32,0,0,0,0,0,0
5978211,2015,0,0,0,0,17035.2,1022.112,0,0
5978212,2015,0,0,0,0,5805,348.3,0,0
5978213,2015,15136,1210.88,0,0,0,0,0,0
5978215,NA,12960,1036.8,0,0,0,0,0,0
5978216,2015,0,0,0,0,5454,327.24,0,0
5978217,2015,0,0,0,0,9633.6,578.016,0,0
5978218,2015,0,0,0,0,8622,517.32,0,0
5978219,2015,14360,1148.8,0,0,0,0,0,0
5978221,2015,0,0,0,0,0,0,154,9.24
5978222,2015,0,0,202878,8115.12,0,0,0,0
5978223,2015,0,0,0,0,0,0,4045.8,242.748
5978224,2015,0,0,0,NA,0,0,491,29.46
5978225,2015,0,0,0,0,50400,3024,0,0
5978226,2015,0,0,0,0,14433.6,866.016,0,0
5978227,2015,0,0,0,0,0,0,1118,67.08
5978228,2015,0,0,0,0,1200,72,0,0
5978229,2015,11802,944.16,0,0,0,0,0,0
5978230,2015,21480,1718.4,0,0,0,0,0,0
5978232,2015,0,0,0,0,56928,3415.68,0,0
5978234,2015,0,0,0,0,0,0,2763,165.78
5978235,2015,0,0,0,0,0,0,4950,297
5978236,2015,0,0,14788.08,591.5232,0,0,0,0
5978237,2015,0,0,0,0,0,0,3036.8,182.208
5978239,2015,0,0,0,0,5490,329.4,0,0
5978240,2015,0,0,0,0,0,0,2100,126
5978242,2015,0,0,0,0,30221.1,1813.266,0,0
5978243,2015,0,0,3002.4,120.096,0,0,0,0
5978244,2015,5184,414.72,0,0,0,0,0,0
5978245,2015,0,0,0,0,34650,2079,0,0
5978246,2015,0,0,0,0,0,0,4972.8,298.368
5978247,2015,0,0,0,0,0,0,572.4,34.344
5978248,2015,0,0,0,0,380160,22809.6,0,0
5978249,2015,14190,1135.2,0,0,0,0,0,0
5978251,2015,0,0,36766,1470.64,0,0,0,0
5978252,2015,0,0,NA,0,0,0,1787.5,107.25
5978253,2015,39260,3140.8,0,0,0,0,0,0
5978254,2015,0,0,0,0,0,0,733.6,44.016
5978255,2015,0,0,1536,61.44,0,0,0,0
5978256,2015,0,0,0,0,7769.4,466.164,0,0
5978257,2015,0,0,0,0,196950.6,11817.036,0,0
5978258,2015,12936,1034.88,0,0,0,0,0,0
5978259,2015,0,0,0,0,99900,5994,0,0
5978262,2015,0,0,0,0,112800,6768,0,0
5978265,2015,792,63.36,0,0,0,0,0,0
5978267,2015,0,0,0,0,0,0,17928,1075.68
5978269,2015,0,0,0,0,0,0,328.8,19.728
5978270,2015,0,0,0,0,30877.2,1852.632,0,0
5978271,2015,0,0,0,0,40133.1,2407.986,0,0
5978272,2015,0,0,37065.6,1482.624,0,0,0,0
5978273,2015,0,0,0,0,3110.4,186.624,0,0
5978274,2015,0,0,1894.4,75.776,0,0,0,0
5978275,2015,0,0,0,0,0,0,11995.2,719.712
5978276,2015,0,0,2520,100.8,0,0,0,0
5978277,2015,3591,287.28,0,0,0,0,0,0
5978279,2015,0,0,0,0,571.2,34.272,0,0
5978280,2015,1120,89.6,0,0,0,0,0,0
5978281,2015,0,0,0,0,0,0,8587.5,515.25
5978284,2015,20108,1608.64,0,0,0,0,0,0
5978285,2015,0,0,5485.5,219.42,0,0,0,0
5978286,2015,0,0,0,0,0,0,4374,262.44
5978287,2015,1056,84.48,0,0,0,0,0,0
5978288,2015,0,0,48.4,1.936,0,0,0,0
5978289,2015,0,0,0,0,0,0,12339,740.34
5978290,2015,0,0,0,0,48230.4,2893.824,0,0
5978291,2015,0,0,0,0,39396,2363.76,0,0
5978292,2015,0,0,0,0,3537,212.22,0,0
5978294,2015,0,0,0,0,128902.2,7734.132,0,0
5978295,2015,0,0,0,0,289800,17388,0,0
5978296,2015,0,0,0,0,0,0,504,30.24
5978298,2015,0,0,118.44,4.7376,0,0,0,0
5978299,2015,7545,603.6,0,0,0,0,0,0
5978300,2015,0,0,0,0,210312,NA,0,0
5978301,2015,0,0,529.92,21.1968,0,0,0,0
5978303,2015,21920,1753.6,0,0,0,0,0,0
5978304,2015,0,0,0,0,142005.6,8520.336,0,0
5978305,2015,0,0,2961.6,118.464,0,0,0,0
5978306,NA,0,0,0,0,0,0,5088,305.28
5978307,2015,0,0,NA,0,497.4,29.844,0,0
5978308,2015,0,0,49597.02,1983.8808,0,0,0,0
5978309,NA,1736,138.88,0,0,0,0,0,0
5978310,2015,0,0,0,0,0,0,3012,180.72
5978312,2015,0,0,0,0,0,0,470.4,28.224
5978313,NA,0,0,0,0,0,0,7770,466.2
5978314,2015,0,0,22440.96,897.6384,0,0,0,0
5978315,2015,0,0,0,0,0,0,151.2,9.072
5978316,2015,44625,3570,0,0,0,0,0,0
5978317,2015,0,0,23770.8,950.832,0,0,0,NA
5978319,2015,0,0,0,0,38005.2,2280.312,0,0
5978320,2015,12336,986.88,0,0,0,0,0,0
5978321,2015,0,0,3070.08,122.8032,0,0,0,0
