ID,year,从业人数,资产总额,负债总额,营业总收入,主营业务收入,利润总额,净利润,纳税总额,所有者权益合计
5978034,2015,868,67200,61600,181440,127008,18144,72576,36288,5600
5978036,2015,556,71640,127360,358200,179100,71640,143280,143280,-55720
5978037,2015,426,19770,13180,39540,15816,19770,7908,23724,6590
5978038,2015,815,101700,96050,203400,81360,20340,0,40680,5650
5978039,2015,450,107100,202300,385560,308448,154224,38556,231336,-95200
5978040,2015,825,22920,25785,57300,40110,11460,17190,11460,-2865
5978041,2015,838,70000,99750,287000,114800,28700,86100,114800,-29750
5978042,2015,823,311520,457545,498432,249216,99686.4,99686.4,99686.4,-146025
5978043,2015,877,86760,39765,399096,159638.4,79819.2,39909.6,239457.6,46995
5978044,2015,958,29900,53820,107640,86112,43056,10764,64584,-23920
5978046,2015,243,12600,4200,1260,504,126,378,504,8400
5978047,2015,651,391500,382800,1057050,422820,528525,-105705,0,8700
5978048,2015,891,226050,328800,384285,153714,153714,-38428.5,0,-102750
5978050,2015,726,234880,113770,1056960,634176,528480,0,422784,121110
5978051,2015,706,317200,155550,1332240,666120,NA,133224,266448,161650
5978052,2015,316,153270,149340,429156,257493.6,42915.6,85831.2,171662.4,3930
5978053,2015,674,158500,232995,332850,266280,99855,66570,66570,-74495
5978054,2015,687,379600,555165,1822080,1275456,728832,364416,728832,-175565
5978055,2015,941,254940,124435,356916,249841.2,107074.8,71383.2,142766.4,130505
5978056,2015,71,265650,521640,690690,483483,276276,138138,276276,-255990
5978058,2015,439,272700,266640,872640,349056,87264,-87264,0,6060
5978059,2015,795,367200,538560,844560,675648,253368,0,168912,-171360
5978061,2015,180,21800,16350,65400,52320,13080,13080,13080,5450
5978063,2015,821,88600,126255,124040,99232,24808,12404,49616,-37655
5978064,2015,526,123360,181185,431760,259056,172704,-43176,0,-57825
5978065,2015,375,76340,145740,190850,133595,95425,57255,76340,-69400
5978066,2015,405,134400,64960,564480,225792,169344,169344,338688,69440
5978067,2015,103,15840,26400,4752,1900.8,2376,1900.8,1900.8,-10560
5978068,2015,902,102960,188760,339768,169884,101930.4,101930.4,203860.8,-85800
5978069,NA,691,94640,43940,283920,198744,28392,85176,113568,50700
5978070,2015,707,195900,378740,235080,117540,94032,47016,47016,-182840
5978071,2015,468,229320,110565,91728,64209.6,18345.6,0,36691.2,118755
5978073,2015,971,113040,162495,531288,318772.8,212515.2,53128.8,106257.6,-49455
5978074,2015,114,6960,6960,13920,11136,4176,4176,8352,0
5978075,2015,177,511500,1004400,818400,327360,81840,81840,163680,-492900
5978076,2015,261,224250,218500,650325,260130,130065,260130,260130,5750
5978077,2015,890,241080,348705,506268,405014.4,101253.6,0,202507.2,-107625
5978078,2015,48,28480,27590,37024,18512,14809.6,3702.4,7404.8,890
5978079,2015,292,224400,108800,762960,534072,228888,76296,305184,115600
5978081,2015,531,35400,42480,84960,67968,8496,33984,33984,-7080
5978082,2015,988,6300,11760,20160,16128,8064,4032,4032,-5460
5978083,2015,934,186000,88350,353400,247380,70680,-35340,0,97650
5978084,2015,939,63840,122360,172368,86184,51710.4,-17236.8,0,-58520
5978085,2015,805,2450,1960,2205,1102.5,661.5,0,882,490
5978086,2015,442,163980,309740,655920,393552,327960,0,393552,-145760
5978087,2015,986,51840,21600,248832,199065.6,124416,24883.2,99532.8,30240
5978088,2015,878,109800,50325,406260,243756,40626,-40626,0,59475
5978089,2015,319,39060,16275,35154,28123.2,14061.6,7030.8,7030.8,22785
5978090,2015,482,43360,75880,212464,106232,63739.2,21246.4,84985.6,-32520
5978091,2015,63,54240,74580,146448,117158.4,58579.2,43934.4,87868.8,-20340
5978092,2015,21,114600,225380,561540,224616,168462,0,336924,-110780
5978094,2015,834,11250,5000,11250,4500,5625,1125,6750,6250
5978095,2015,287,217580,311535,935594,467797,374237.6,374237.6,187118.8,-93955
5978096,2015,352,5160,3440,14964,5985.6,2992.8,-1496.4,0,1720
5978097,2015,226,22200,8880,93240,65268,37296,0,55944,13320
5978099,2015,454,61440,28160,294912,147456,117964.8,0,117964.8,33280
5978100,2015,434,5010,6680,12525,7515,1252.5,1252.5,2505,-1670
5978102,2015,528,38400,34560,38400,26880,19200,11520,23040,3840
5978103,2015,148,38280,55680,57420,34452,22968,-5742,0,-17400
5978104,2015,946,14100,17625,35250,21150,17625,-3525,0,-3525
5978105,2015,515,100980,137700,363528,290822.4,181764,145411.2,72705.6,-36720
5978106,2015,973,20400,19040,77520,38760,7752,-7752,0,1360
5978108,2015,262,144900,135240,507150,304290,152145,152145,304290,9660
5978109,2015,682,8900,4005,35600,28480,10680,10680,21360,4895
5978110,2015,835,117600,170100,576240,230496,57624,115248,115248,-52500
5978111,2015,762,54040,26055,97272,77817.6,19454.4,0,38908.8,27985
5978112,2015,870,430650,842160,1593405,956043,637362,318681,637362,-411510
5978113,2015,669,82080,159600,164160,98496,82080,32832,98496,-77520
5978115,2015,185,5880,8820,24108,12054,12054,4821.6,9643.2,-2940
5978117,2015,974,79200,106920,348480,278784,104544,69696,209088,-27720
5978118,2015,335,33600,14700,151200,60480,60480,0,90720,18900
5978120,2015,484,550,880,440,352,88,176,176,-330
5978122,2015,703,65780,94185,263120,105248,52624,52624,157872,-28405
5978123,2015,706,54360,52850,119592,95673.6,59796,35877.6,71755.2,1510
5978125,2015,460,497840,488950,199136,119481.6,19913.6,19913.6,79654.4,8890
5978126,2015,842,92400,127050,277200,110880,27720,-27720,0,-34650
5978127,2015,30,37200,72540,167400,133920,33480,16740,66960,-35340
5978128,2015,217,24240,11110,4848,2908.8,484.8,484.8,969.6,13130
5978130,2015,344,45370,20940,131573,105258.4,26314.6,NA,0,24430
5978131,2015,218,78200,105570,218960,87584,109480,-21896,0,-27370
5978132,2015,804,5880,2940,23520,16464,9408,2352,4704,2940
5978133,2015,724,442750,869400,664125,332062.5,332062.5,66412.5,132825,-426650
5978134,2015,533,25800,41280,5160,3096,1548,516,3096,-15480
5978135,2015,173,69120,65280,331776,232243.2,66355.2,132710.4,66355.2,3840
5978137,2015,531,1020,1700,3774,1509.6,377.4,-377.4,0,-680
5978138,2015,220,9940,2485,16898,10138.8,5069.4,1689.8,10138.8,7455
5978139,2015,272,11520,10080,9216,4608,2764.8,0,1843.2,1440
5978140,2015,621,74280,136180,96564,57938.4,38625.6,-9656.4,0,-61900
5978142,2015,946,208400,304785,791920,475152,395960,-79192,0,-96385
5978144,2015,30,282600,409770,1299960,649980,649980,259992,779976,-127170
5978145,2015,962,190200,275790,38040,26628,15216,15216,22824,-85590
5978146,2015,557,22900,9160,48090,33663,24045,0,9618,13740
5978147,2015,830,5250,2100,3150,2520,315,-315,0,3150
5978149,2015,858,132720,127980,384888,153955.2,115466.4,38488.8,153955.2,4740
5978154,2015,376,121200,59085,48480,33936,19392,9696,19392,62115
5978155,2015,905,41580,78540,45738,27442.8,18295.2,9147.6,9147.6,-36960
5978156,2015,373,165880,158340,431288,345030.4,43128.8,129386.4,86257.6,7540
5978157,2015,241,18360,30600,84456,50673.6,25336.8,NA,0,-12240
5978158,2015,852,218960,211140,109480,43792,10948,-10948,0,7820
5978161,2015,297,9360,3900,NA,27518.4,4586.4,4586.4,27518.4,5460
5978162,2015,833,21810,29080,15267,9160.2,3053.4,4580.1,9160.2,-7270
5978163,2015,873,102080,48720,265408,132704,106163.2,0,53081.6,53360
5978164,2015,222,89700,44160,71760,50232,28704,14352,14352,45540
5978166,2015,1000,354750,522450,248325,124162.5,74497.5,49665,148995,-167700
5978167,2015,663,132000,64900,158400,126720,15840,47520,31680,67100
5978168,2015,335,16250,19500,76375,61100,38187.5,-7637.5,0,-3250
5978169,2015,52,35940,29950,125790,75474,37737,50316,25158,5990
5978170,2015,547,281250,550000,1265625,885937.5,126562.5,126562.5,506250,-268750
5978172,2015,86,166200,80330,33240,23268,13296,13296,6648,85870
5978173,2015,703,21840,9555,78624,31449.6,31449.6,-7862.4,0,12285
5978174,2015,872,54320,25220,179256,125479.2,89628,53776.8,107553.6,29100
5978175,2015,766,211900,101875,847600,423800,254280,254280,169520,110025
5978176,2015,230,73400,139460,205520,123312,41104,20552,82208,-66060
5978177,2015,503,102120,93610,122544,73526.4,36763.2,24508.8,73526.4,8510
5978180,2015,657,61530,105480,215355,129213,43071,-21535.5,0,-43950
5978181,2015,597,15990,21320,11193,8954.4,2238.6,3357.9,4477.2,-5330
5978182,2015,577,21930,7310,46053,18421.2,23026.5,-4605.3,0,14620
5978184,2015,824,81540,36240,130464,104371.2,65232,13046.4,26092.8,45300
5978185,2015,639,96900,130815,436050,305235,174420,0,87210,-33915
5978186,2015,191,63840,82080,114912,91929.6,11491.2,0,22982.4,-18240
5978187,2015,708,195120,186990,780480,312192,234144,234144,312192,8130
5978188,2015,626,116000,170520,406000,203000,121800,0,243600,-54520
5978190,2015,879,466050,229440,1677780,1342224,503334,503334,671112,236610
5978191,2015,536,18660,9330,74640,44784,7464,7464,44784,9330
5978193,2015,818,3420,1425,10602,7421.4,5301,4240.8,4240.8,1995
5978194,2015,459,91800,171360,55080,44064,16524,0,11016,-79560
5978195,2015,871,9300,17360,23250,18600,9300,2325,9300,-8060
5978196,2015,56,266040,258650,1276992,766195.2,510796.8,127699.2,255398.4,7390
5978198,2015,328,288600,141895,404040,161616,121212,161616,161616,146705
5978199,2015,112,88530,172520,177060,70824,53118,0,106236,-83990
5978201,2015,700,44040,40370,215796,86318.4,64738.8,21579.6,43159.2,3670
5978202,2015,685,29340,52160,132030,66015,39609,26406,79218,-22820
5978203,2015,354,86040,167300,335556,201333.6,100666.8,-33555.6,0,-81260
5978204,2015,529,58590,104160,275373,220298.4,137686.5,27537.3,110149.2,-45570
5978205,2015,417,40000,78000,124000,74400,49600,12400,24800,-38000
5978206,2015,453,94200,129525,339120,271296,67824,0,203472,-35325
5978208,2015,138,50040,91740,225180,112590,67554,22518,135108,-41700
5978211,2015,511,40560,78000,56784,28392,22713.6,5678.4,34070.4,-37440
5978212,2015,881,7740,0,19350,15480,9675,1935,3870,7740
5978213,2015,556,151360,219945,635712,508569.6,190713.6,127142.4,127142.4,-68585
5978215,2015,133,129600,244800,622080,248832,62208,-62208,0,-115200
